,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
41,0.0705348014831543,0.000529336929321289,0.6271536871123363,0.6250871747331995,0.01,"(50,)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",90,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6241379310344828,0.6141257536606374,0.6319444444444444,0.6268271711092004,0.007240041967587358,1.580080347905405e-05,0.002654417487376514,0.0055076927081119526
42,0.11011242866516113,0.0005429744720458985,0.6305995864920745,0.6386925745479506,0.01,"(50,)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",61,0.6267123287671232,0.6281276962899051,0.6116838487972509,0.621551724137931,0.6482758620689655,0.657192075796727,0.6310344827586207,0.652885443583118,0.6354166666666666,0.6337059329320722,0.011406048120195177,3.7140564336476936e-05,0.0119117483036435,0.01395679818507163
43,0.13634400367736815,0.0005887985229492187,0.6237077877325982,0.634045591371359,0.01,"(50,)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",101,0.6267123287671232,0.6617773943054357,0.6082474226804123,0.6043103448275862,0.6275862068965518,0.627906976744186,0.6241379310344828,0.6296296296296297,0.6319444444444444,0.646603611349957,0.009459542148072243,2.966931225241757e-05,0.008140146577158546,0.0193293815442794
44,0.15411624908447266,0.0005952358245849609,0.627842866988284,0.6274985917637024,0.01,"(50,)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",70,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.6267241379310344,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.007894252670232449,2.681911240048974e-05,0.0021887550862273665,0.000596642861967518
45,0.19542427062988282,0.0006062984466552734,0.6099241902136457,0.6054388245704871,0.01,"(50,)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 25}",109,0.6061643835616438,0.6082830025884383,0.5979381443298969,0.6025862068965517,0.6206896551724138,0.615848406546081,0.593103448275862,0.5770887166236004,0.6319444444444444,0.6233877901977644,0.011607455973975306,1.9520061611269783e-05,0.014408737205677704,0.01581442481272944
46,0.20090956687927247,0.0006260395050048829,0.6057891109579601,0.6138731335829437,0.01,"(50,)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 30}",113,0.6061643835616438,0.5936151855047455,0.5360824742268041,0.5862068965517241,0.6206896551724138,0.6373815676141258,0.6517241379310345,0.632213608957795,0.6145833333333334,0.6199484092863284,0.006073641419851038,1.986094023720772e-05,0.03815691185927504,0.02050235895819165
47,0.21720733642578124,0.0006510257720947265,0.6257753273604411,0.6283630329714369,0.01,"(50,)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 35}",97,0.6267123287671232,0.6281276962899051,0.6185567010309279,0.6362068965517241,0.6241379310344828,0.6270456503014643,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6225279449699054,0.008955696566509243,4.3579003306553244e-05,0.0044013944263671615,0.004417540392277277
48,0.23610057830810546,0.0006460666656494141,0.627842866988284,0.6288755216870416,0.01,"(50,)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 40}",70,0.6267123287671232,0.6212251941328731,0.6254295532646048,0.628448275862069,0.6724137931034483,0.6770025839793282,0.5827586206896552,0.5934539190353144,0.6319444444444444,0.6242476354256233,0.011419345567648424,4.180706325585597e-05,0.028426073887473337,0.027022329437826533
49,0.2841320514678955,0.0006665706634521485,0.6333563059958649,0.6414758611100474,0.01,"(50,)",50,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 50}",57,0.6541095890410958,0.6962899050905953,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.01504849057145762,2.6215377719464327e-05,0.010629179440404733,0.02741208040081574
50,0.05058135986328125,0.0006144046783447266,0.6195727084769125,0.6230199912706672,0.01,"(50, 50)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",105,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.5862068965517241,0.6037898363479759,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.004494957457702979,2.2952664464108925e-05,0.016818258588556997,0.009630483143236626
51,0.08165283203125,0.0006134033203125,0.627842866988284,0.6278434193499093,0.01,"(50, 50)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",70,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.006058852759036073,1.4999086953229903e-05,0.0021887550862273665,0.0005454364033310899
52,0.12063679695129395,0.0006488800048828125,0.6519641626464507,0.651271498591942,0.01,"(50, 50)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",42,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6862068965517242,0.689922480620155,0.6896551724137931,0.6830318690783808,0.6319444444444444,0.6268271711092004,0.01563733618792715,1.4200303440546078e-05,0.02945089923074616,0.028832897086618882
53,0.1480638027191162,0.0007560253143310547,0.6292212267401792,0.6350661192639249,0.01,"(50, 50)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",65,0.6267123287671232,0.6281276962899051,0.6254295532646048,0.628448275862069,0.6275862068965518,0.627906976744186,0.6275862068965518,0.627906976744186,0.6388888888888888,0.6629406706792778,0.021001036720213553,0.00012745590542544426,0.004875409163653967,0.01393868591009145
54,0.16346979141235352,0.0007006645202636719,0.6416264645072364,0.6509556391459823,0.01,"(50, 50)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",49,0.6643835616438356,0.6738567730802416,0.6632302405498282,0.6948275862068966,0.6275862068965518,0.6356589147286822,0.6275862068965518,0.627906976744186,0.625,0.6225279449699054,0.007835042178826256,3.5303794369573e-05,0.018206795845919197,0.028363970409552696
55,0.2052631378173828,0.000733041763305664,0.6581667815299793,0.6609062121041085,0.01,"(50, 50)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",29,0.6267123287671232,0.6238136324417601,0.6426116838487973,0.6474137931034483,0.6724137931034483,0.7080103359173127,0.6896551724137931,0.6580534022394487,0.6597222222222222,0.6672398968185727,0.01331833007284905,7.234447899556943e-05,0.022064547923614966,0.027658479361283916
56,0.22143454551696778,0.0008157730102539062,0.6753962784286699,0.6806017707068784,0.01,"(50, 50)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",12,0.6952054794520548,0.7213114754098361,0.6872852233676976,0.7043103448275863,0.7034482758620689,0.6993970714900948,0.6586206896551724,0.6511627906976745,0.6319444444444444,0.6268271711092004,0.01816624329435089,0.0001537748897803014,0.02637393497314423,0.03558370689302504
57,0.2455915927886963,0.0007701873779296875,0.6560992419021364,0.6662854710899226,0.01,"(50, 50)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",33,0.6506849315068494,0.6721311475409836,0.6907216494845361,0.696551724137931,0.6793103448275862,0.7080103359173127,0.6275862068965518,0.627906976744186,0.6319444444444444,0.6268271711092004,0.01289593954958335,5.8893848358460243e-05,0.02514502000361267,0.03382616921028727
