,naics_2007_us_code,wage_offer_from_9089,case_status,wage_offer_unit_of_pay_9089,country_of_citzenship,employer_state,pw_level_9089
145,236210.0,148762.0,1,2.0,138,4,3
146,52211.0,110032.0,1,2.0,57,4,3
147,51121.0,95040.0,1,2.0,106,51,1
148,541512.0,122200.08,1,2.0,57,4,3
149,518111.0,95917.0,1,2.0,57,48,1
150,423990.0,49816.0,-1,2.0,85,4,3
151,541511.0,83000.0,1,2.0,57,36,2
152,51121.0,91330.0,-1,2.0,57,51,3
153,541613.0,128856.0,1,2.0,142,20,3
154,541511.0,101088.0,1,2.0,57,36,2
155,33441.0,87444.0,1,2.0,57,46,1
156,541511.0,64000.0,1,2.0,57,15,1
157,454111.0,96034.0,1,2.0,57,51,2
158,541512.0,114820.0,1,2.0,63,4,3
159,522293.0,82000.0,1,2.0,19,33,1
160,541511.0,80974.0,1,2.0,57,52,2
161,33441.0,79460.0,-1,2.0,57,4,1
162,622110.0,90000.0,1,2.0,44,37,1
163,5313.0,75000.0,1,2.0,57,9,1
164,541511.0,117478.0,1,2.0,67,20,1
165,541990.0,43202.0,1,2.0,133,4,0
166,541511.0,51400.0,-1,2.0,57,33,2
167,522110.0,120000.0,1,2.0,57,36,3
168,325411.0,200000.0,1,2.0,42,36,1
169,541511.0,108534.0,1,2.0,57,46,3
170,541511.0,65478.0,1,2.0,57,37,1
171,541512.0,72758.0,1,2.0,57,4,0
172,446110.0,40.0,1,1.0,93,21,0
173,541511.0,113651.0,1,2.0,59,4,3
174,334220.0,92232.0,1,2.0,57,4,2
175,334510.0,77272.0,1,2.0,65,24,1
176,454111.0,79441.0,1,2.0,57,51,2
177,541511.0,42245.0,1,2.0,138,46,0
178,541710.0,80100.0,1,2.0,133,4,0
179,722110.0,43264.0,1,2.0,19,48,1
180,424330.0,125549.0,1,2.0,57,36,1
181,621340.0,81307.0,1,2.0,102,15,1
182,541511.0,160285.0,1,2.0,57,4,3
183,51721.0,110000.0,1,2.0,26,46,0
184,325412.0,49733.0,-1,2.0,57,33,0
185,621111.0,60.29,-1,1.0,106,36,3
186,441310.0,104437.0,-1,2.0,115,4,2
187,541511.0,77771.2,1,2.0,106,24,1
188,61131.0,56180.0,1,2.0,101,46,0
189,334510.0,93912.0,1,2.0,57,15,3
190,454111.0,123008.0,1,2.0,57,4,3
191,623110.0,93600.0,1,2.0,69,4,1
192,523110.0,150000.0,1,2.0,88,33,1
